ubigeo,iddpto,departamento,provincia,distrito,idprov,n_facilities_total,n_emergency_active,n_emergency_structural,camas_total,n_public,n_private,n_ccpp_baseline,dist_median_m_baseline,dist_median_m_alternative,pct_ccpp_gt5km_baseline,pct_ccpp_gt20km_baseline,pct_ccpp_gt5km_alternative,pct_ccpp_gt20km_alternative,susalud_latest_year,susalud_atenciones,susalud_atendidos,facility_density_baseline,activity_per_ccpp_baseline,comp_facility_baseline,comp_activity_baseline,comp_access_baseline,hadi_baseline,hadi_quintile_baseline,facility_density_alternative,activity_per_ccpp_alternative,comp_facility_alternative,comp_activity_alternative,comp_access_alternative,hadi_alternative,hadi_quintile_alternative,quintile_shift,classification_change
160107,16,Loreto,Maynas,Napo,1601,9,1,1,0,9,0,106.0,46989.0,46895.0,98.11,83.96,98.11,83.96,2026.0,751,751,0.9433962264150944,7.084905660377358,0.5005350454788657,0.1706795077581594,0.9010165864098448,0.5241,Q3,0.9433962264150944,7.084905660377358,0.4534510433386838,0.1706795077581594,0.9523809523809524,0.5255,Q3,0.0,same
170101,17,Madre De Dios,Tambopata,Tambopata,1701,16,2,4,131,12,4,70.0,18547.0,18046.0,85.71,47.14,85.71,47.14,2026.0,11706,11160,2.857142857142857,167.22857142857143,0.3552701979668272,0.0652755484216158,0.8210272873194222,0.4139,Q3,5.714285714285714,167.22857142857143,0.1056714820759764,0.0652755484216158,0.8951310861423221,0.3554,Q2,-1.0,improved 1
160303,16,Loreto,Loreto,Tigre,1603,5,0,1,0,5,0,89.0,77742.0,64908.0,100.0,100.0,95.51,89.89,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103264,0.8133,Q5 (Worst),1.1235955056179776,0.0,0.4224184055644729,0.695024077046549,0.9646869983948636,0.694,Q4,-1.0,improved 1
250401,25,Ucayali,Purus,Purus,2504,8,0,1,0,8,0,64.0,231815.0,27377.0,100.0,100.0,90.62,65.62,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103264,0.8133,Q5 (Worst),1.5625,0.0,0.3456393793472445,0.695024077046549,0.93151417870519,0.6574,Q4,-1.0,improved 1
160804,16,Loreto,Putumayo,Yaguas,1608,2,0,0,0,2,0,28.0,148187.0,135225.0,100.0,100.0,100.0,100.0,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103264,0.8133,Q5 (Worst),0.0,0.0,0.7835741037988229,0.695024077046549,0.9882289994649546,0.8223,Q5 (Worst),0.0,same
160305,16,Loreto,Loreto,Urarinas,1603,6,0,1,0,6,0,158.0,54924.0,50353.0,100.0,94.3,96.2,89.24,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9218833600856072,0.7983,Q4,0.6329113924050633,0.0,0.5152487961476726,0.695024077046549,0.962011771000535,0.7241,Q4,0.0,same
250104,25,Ucayali,Coronel Portillo,Masisea,2501,18,3,1,0,18,0,129.0,21587.0,27750.0,87.6,53.49,95.35,62.79,2026.0,30,29,2.3255813953488373,0.2325581395348837,0.3836276083467094,0.3076511503477795,0.8362760834670947,0.5092,Q3,0.7751937984496124,0.2325581395348837,0.4860888175494917,0.3076511503477795,0.9256286784376672,0.5731,Q3,0.0,same
250201,25,Ucayali,Atalaya,Raimondi,2502,16,4,1,0,15,1,214.0,15205.0,29690.0,90.65,34.58,95.79,66.36,2026.0,289,104,1.8691588785046729,1.3504672897196262,0.4173354735152488,0.2306046013911182,0.7907972177635099,0.4796,Q3,0.4672897196261681,1.3504672897196262,0.5398608881754949,0.2306046013911182,0.9336543606206528,0.568,Q3,0.0,same
160102,16,Loreto,Maynas,Alto Nanay,1601,4,0,1,0,4,0,60.0,55737.0,32583.0,100.0,100.0,95.0,68.33,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103264,0.8133,Q5 (Worst),1.6666666666666667,0.0,0.3287854467629748,0.695024077046549,0.9357945425361156,0.6532,Q4,-1.0,improved 1
160403,16,Loreto,Mariscal Ramon Castilla,Yavari,1604,6,0,2,0,5,0,107.0,59505.0,25687.0,100.0,100.0,85.05,59.81,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.9668271803103264,0.8133,Q5 (Worst),1.8691588785046729,0.0,0.3028357410379882,0.695024077046549,0.9176029962546816,0.6385,Q4,-1.0,improved 1
